question,answer,count
what does the traffic sign represent?,Slippery,4
What shape is the warning traffic sign?,Triangle,4
What color is the border of the traffic sign?,Red,4
What type of hazard is depicted by this traffic sign?,Road condition,4
What type of zone is indicated by the traffic signal?,Accident,4
What should you be cautious about?,Accidents,4
What is the main warning of this traffic signal?,Danger,4
What kind of road condition does this traffic signal suggest?,Risky,4
What shape is the traffic sign?,Rectangle,4
What is the direction of it?,Left,4
What does this traffic sign indicate?,End of dual Carriageway,4
Should the car increase or decrease speed?,Decrease,3
What is the shape of this traffic sign?,Triangle,3
What is the border color?,Red,3
What does this traffic sign indicate?,Start of Dual Carriageway,3
What does the arrow represent?,Curve,3
What action should be taken?,Slow,3
What type of turn is shown?,Sharp,3
What direction is indicated?,Left,3
what does this traffic sign indicate?,Side road left,3
What type of traffic sign is this?,Guide,3
What type of traffic sign is this?,Direction,3
What does this traffic sign indicate?,End of Dual Carriageway,3
What language is used on the traffic sign?,Telugu,3
In which direction does the arrow point?,Left,3
What does this traffic sign indicate?,Toilet Facility ahead,3
is this facility for public use?,Yes,3
Which place is to the right?,Bapatla,3
What does this traffic sign indicate?,Left reverse bend,3
Which place is straight ahead?,Guntur,3
What is the distance shown on the traffic sign?,500m,3
What shape is this traffic sign?,Rectangle,3
What does the arrow indicate?,Right,3
What does this traffic sign indicate?,Boundary,3
What color border does it have?,Red,3
Which place is straight ahead?,Chilakaluripet,3
What does this traffic sign indicate?,Service Road,3
What does this traffic sign indicate?,Start of dual Carriageway,3
What does this traffic sign indicate?,Construction,3
What color background does it have?,Yellow,3
What type of area is ahead?,Work Zone,3
How far is the petrol pump from here?,500 m,3
What color is the background of the traffic sign?,Green,3
Is this traffic sign circular or triangular?,Circular,3
What color border does the traffic sign have?,Red,3
Which place is straight ahead?,Mylavaram and Tiruvuru,3
What does this traffic sign indicate?,Slow,3
What should the driver do?,Reduce the speed,3
What does the traffic sign help prevent?,Accidents,3
What type of drivers should notice this traffic sign most?,All,3
What does this traffic sign indicate?,Restaurant,3
What is the shape of the traffic sign?,Rectangular,3
How far is the petrol pump from here?,500m,3
What does this traffic sign indicate?,Location,3
What does this traffic sign indicate?,Unguarded Railway Crossing,3
what should the driver do?,Be Cautious,3
Is this traffic sign circular or triangular?,Rectangular,3
What is the color of the board,Red,3
Which place is to the right?,Eepurupalem,3
What is the shape of the traffic sign?,Circular,3
What is the background color?,Blue,3
What is the arrow color?,White,3
What does this traffic sign indicate?,No Entry,3
Are vehicles allowed to enter?,No,3
What does this traffic sign indicate?,Accident Prone Zone,3
Which direction to Bapatla?,Left,2
What does the traffic sign provide?,Route,2
Which side is the petrol pump shown?,left,2
What does this traffic sign indicate?,Entry,2
What does the arrow represent?,Dircetion,2
Which direction does it show?,Left,2
What does this traffic sign indicate?,No right turn,2
What language is used besides English?,Telugu,2
What is the board’s color?,Green,2
What kind of traffic sign is this?,Directional,2
Which place is to the left?,Bapatla and Suryalanka Beach,2
What does this traffic sign indicate?,Location of IndianOil Filling Station,2
How far is the filling station from here?,500 m,2
What color is mainly used in this traffic sign?,White,2
What facility does this traffic sign indicate?,Fuel,2
What does this traffic sign indicate?,Go slow,2
Which place is to the left?,Bapatla,2
What does this traffic sign indicate?,Temple Ahead,2
What does this traffic sign indicate?,Hospital,2
What does it help drivers find?,Medical,2
What color is the background?,Blue,2
What symbol is shown?,Bed,2
What does this traffic sign indicate?,Weigh Bridge ahead,2
Should heavy vehicles stop here?,Yes,2
What color is the background of this traffic sign?,Green,2
Which place is straight ahead?,Amaravati pilgrim center and amaravati capital,2
What does this traffic sign indicate?,Right reverse bend,2
What does this traffic sign indicate?,No stopping,2
What risk is highlighted?,Accident,2
Is this area safe?,No,2
What action should driver take?,Slow,2
What kind of area is this?,Hazard,2
Is this a place indicator?,Yes,2
What place does it show?,Kesineni palli,2
Which side is the place located?,Right,2
What color is the traffic sign?,Green,2
What is the distance shown on the traffic sign?,250m,2
What type of warning might this traffic sign provide?,Caution,2
What should drivers be prepared for?,Change,2
What might be ahead on the road?,Hazard,2
What action should be taken by drivers?,Slow down,2
What does this traffic sign indicate?,Service Road Ahead,2
What is the color of this traffic signboard?,Green,2
Is this traffic sign mandatory?,No,2
Where is this traffic sign usually found?,Highways,2
What does this traffic sign indicate?,End of speed restriction,2
What geometric shape is this traffic sign?,Cicrle,2
What is the color of the traffic signboard?,White,2
What is the color of thediagonal line?,Black,2
What does this traffic sign indicate?,Added lane from left,2
What does this traffic sign indicate?,Danger,2
Should one be alert here?,Yes,2
What should a person do here?,Avoid,2
What area’s limit is ending?,Prathipadu,2
Does this traffic sign mark entry or exit?,Exit,2
What does this traffic sign indicate?,Height,2
What shape does this traffic sign have?,Circular,2
Which place is to the left?,Dasari palem,2
What is the name shown on the traffic sign?,Vijayawada,2
What is the purpose of this traffic sign?,Safety,2
What does this traffic sign indicate?,Tourism,2
What does this traffic sign indicate?,End of dual carriageway,2
What unit is used here for showing distance?,Km,2
What is the color of background of this traffic sign,Green,2
Which place is straight ahead?,Suryalanka Beach,2
Which place is to the left?,Repalle,2
Which place is farthest from here?,Chennai,2
What action is advised?,Careful,2
What does this traffic sign indicate?,Accident Prone Area,2
Which place is nearest from here?,Mylavaram,2
Which place is to the right?,Addanki and Darsi,2
Which place is nearest from here?,Jammalamadaka,2
What is the name of place shown on the board?,Marella,2
What is the color of the board?,Green,2
What shape is this board?,Rectangular,2
What does this traffic sign indicate?,Milestone,2
What is name written on it?,Marella,2
How many kilometers does it show?,6 Km,2
Is it a cautionary traffic sign?,No,2
Which place is straight ahead?,"Tiruvuru, Bhadrachalam and Jagadalpur",2
Which place is nearest from here?,Tiruvuru,2
What color background does this traffic sign have?,Green,2
What does this traffic sign indicate?,Bus Stop,2
Who uses this facility?,Passengers,2
What should drivers do near it?,Slow,2
What does this traffic sign indicate?,Series of bends,2
What does this traffic sign indicate?,Restriction,2
What is the distance to the traffic signal as per the traffic signboard?,1km,2
What is the background color of the traffic signboard?,Blue,2
What color is the pole of the traffic signboard?,Black-White,2
Is the traffic sign located in a rural or urban area?,Rural,2
Should drivers stop or proceed?,Stop,2
Which type of vehicles are shown here?,Car and Bike,2
What does this traffic sign indicate?,added lane from left,2
What does this traffic sign indicate?,No Waiting,2
What color is used in this traffic sign?,Green,2
What speed limit does this traffic sign indicate?,50 km/h,2
What is ahead according to the traffic sign?,Barrier,1
Why is caution needed?,Collision,1
Where is this traffic sign usually found?,Tollbooth,1
What does this traffic sign indicate?,Barrier,1
What type of barrier is mentioned?,Automatic,1
Where is this traffic sign usually found?,Toll,1
What should the driver do here?,Slow,1
What does this traffic sign indicate?,Bend,1
Direction of the bend?,Right,1
What is required while entering this curve — Caution or Overtake?,Caution,1
Which direction does the bend indicate?,Left,1
Is overtaking safe on this curve?,No,1
From which side is the road merging?,Left,1
Should the car be alert for entering vehicles?,Yes,1
Is this traffic sign related to merging or overtaking?,Merging,1
What is the background color of this traffic sign?,White,1
What does the symbol inside represent?,Cross,1
Does this traffic sign indicate a junction or a curve?,Junction,1
Should the car slow down or speed up here?,Slow,1
What color is the road traffic sign?,Green,1
Which direction for the temple road?,Straight,1
Which direction for the beach road?,Right,1
What is the script used along with English?,Telugu,1
What could happen if you ignore this traffic sign?,Accident,1
What shape is the traffic sign?,Traingle,1
Which direction is the curve?,Left,1
What action should the car take?,slow,1
Which direction is the curve?,Right,1
What color is the border?,Red,1
What action should the car take?,Slow,1
What type of area is ahead?,Accident,1
What condition does the board warn about?,Danger,1
What behavior must be followed?,Care,1
What does this traffic sign indicate?,Fuel station,1
How far is the fuel station from here?,1.5 km,1
What is the name of the fuel station?,IndianOil,1
Which side is the fuel station located?,Right,1
Which direction leads to Ongole?,Right,1
Which place is straight ahead?,Suryalanka,1
Is this traffic sign used for navigation?,Yes,1
What does a red triangle traffic signal with a cross mean?,Crossroad,1
What should you do when you see a crossroad traffic sign ahead?,Slow,1
Is this an intersection warning?,Yes,1
What type of obstacle does this traffic sign warn about?,Bump,1
What kind of road feature is ahead?,Speedbreaker,1
Should the vehicle reduce speed here?,Yes,1
What does the abbreviation 'NH' stand for?,National,1
What type of road is indicated by the traffic signboard?,Highway,1
What is the number shown on the traffic sign?,NH216,1
What category does this traffic signboard belong to?,Informational,1
What color stripes are present?,Yellow,1
What other color is present?,Black,1
What type of marking is this?,Hazard,1
What shape is the marking?,Rectangle,1
What is the inside color?,White,1
What symbol is shown?,Cross,1
What does it indicate?,Intersection,1
What color is the traffic signboard?,Green,1
Which direction does the arrow point?,Right,1
What place is indicated?,Bapatla,1
What does it provide?,Direction,1
What color is the text?,White,1
Which direction to Repalle?,Right,1
Which script is used along with English?,Telugu,1
Which direction to Repalle?,Straight,1
What script is used along with English?,Telugu,1
What type of upcoming road feature does the traffic sign warn about?,Curve,1
Does the traffic sign indicate a turn to the left or the right?,Right,1
What is the shape of this particular warning traffic sign?,Triangle,1
What color border is typically found on this type of warning traffic sign?,Red,1
What direction must vehicles follow at this intersection?,Right,1
What is the purpose of the striped traffic island in the image?,Separation,1
Which side of the road is the blue vehicle approaching from?,Left,1
What shape is commonly used for directional warning traffic signs like the one shown?,Rectangle,1
What does this board provide?,Navigation,1
Which direction to Ongole?,Straight,1
Where is this traffic sign located?,Highway,1
What direction does the arrow on the traffic sign indicate?,Left,1
What shape is used for this traffic warning traffic sign?,Triangle,1
What color is the border of the warning traffic sign?,Red,1
What type of road feature is this traffic sign warning about?,Curve,1
What place is mentioned on the board?,Teachers,1
What does the traffic sign provide?,Direction,1
Which direction is Teachers Colony?,Left,1
What color is the board?,Green,1
Which direction is RTC Depot?,Left,1
What place is mentioned on the board?,Rtc Depot,1
What type of restriction is shown?,Parking,1
Is car parking allowed?,No,1
Is bike parking allowed?,No,1
Does this board apply to four-wheelers?,Yes,1
Is waiting permitted?,No,1
Is this for vehicles or pedestrians?,Vehicles,1
Which category of traffic sign?,Restriction,1
What action is restricted?,Parking,1
What type of place is this?,Stand,1
Which vehicle is allowed here?,Auto,1
Is this an informative or warning traffic sign?,Informative,1
Is parking permitted for autos?,Yes,1
Which place is indicated?,Bus,1
What does the arrow show?,Right,1
Should vehicles turn here for buses?,Yes,1
Is this traffic sign indicating a straight road?,No,1
Is this a highway traffic sign?,Yes,1
Should a driver follow this traffic sign for Machilipatnam?,Yes,1
Does this traffic sign indicate any warning?,No,1
Which direction is Nandirajuthota?,Left,1
Is the road traffic sign indicating a right turn?,No,1
Should a driver turn left to reach Nandirajuthota?,Yes,1
Is this a directional traffic sign?,Yes,1
What direction leads to Hyderapeta?,Left,1
Is this an informational traffic sign?,Yes,1
Is Hyderapeta straight ahead?,No,1
What is the destination shown on the traffic sign?,Nallamothuvaripalem,1
What type of road traffic sign is this?,Directional,1
On which side of the road is the traffic sign placed?,Left,1
Does the traffic sign indicate a required turn?,Yes,1
What is the background color of the traffic sign?,Green,1
What is the text color on the traffic sign?,White,1
What should a driver do here?,Obey,1
What is the destination shown on the traffic sign?,PathaNandayapalem,1
What type of road traffic sign is this?,Informatory,1
What is the destination shown on the traffic sign?,Buddam,1
What type of road traffic sign is this?,informatory,1
What is the name shown on the traffic sign?,Yazali,1
What is the name shown on the traffic sign?,Khajipalem,1
What is the name shown on the traffic sign?,Chinthayapalem,1
How far is the petrol pump from here?,500 meters,1
What facility is listed first on the traffic sign?,Toilets,1
What is the second service available?,Water,1
Which direction is indicated for the services?,Right,1
What is the color of the main traffic sign?,Blue,1
Which town is closer?,Chirala,1
Which town is farther?,Ongole,1
What kind of road is this likely on?,Highway,1
What does the traffic sign help with?,Navigation,1
What’s the likely travel mode here?,Driving,1
What’s the shorter destination?,Chirala,1
What’s the longer destination?,Ongole,1
What type of traffic sign is it?,Directional,1
What script is used?,Telugu,1
What language is below Telugu?,English,1
What kind of location is mentioned?,Colony,1
What is the board’s shape?,Arrow,1
What languages are used?,Bilingual,1
What is the name shown on the traffic sign?,Manchavaripalem,1
What city is 17 km away?,Chirala,1
What is the farthest city shown on the traffic sign?,Chennai,1
Which place is to the left?,Suryalanka Beach,1
Which place is to the right,Bapatla,1
What does this traffic sign indicate?,Steep Ascent,1
What is the name shown on the traffic sign?,Maddiboyinavaripalem,1
What is the name shown on the traffic sign?,Marrupoluvaripalem,1
What is the name shown on the traffic sign?,Asodivaripalem,1
What does this traffic sign indicate?,Go straight,1
What shape is this traffic sign usually?,Circular,1
Should the driver turn left?,No,1
Should the driver go straight?,Yes,1
What does this traffic sign indicate?,Road Closed,1
What should the driver do?,Stop,1
What color is the traffic sign?,Yellow,1
What is the farthest city shown on the traffic sign?,Digamarru,1
How far is the Guntur from here?,62 km,1
What does this traffic sign indicate?,Right bend,1
What shape is this traffic sign?,Diamond,1
Is this found on straight or curved roads?,Curved,1
What does this traffic sign indicate?,No horn,1
What action is prohibited here?,horn,1
What does the traffic sign promote?,Silence,1
What speed limit does this traffic sign indicate?,20 kmph,1
Which place is to the left?,Guntur,1
Which place is to the right,Kurnool,1
which area is farthest from here?,Amaravati Capital,1
Which highway number is shown?,216H,1
What type of traffic sign is this?,Warning,1
What does this traffic sign indicate?,Hump,1
What is written on this traffic sign?,Hanuman,1
What is the background color?,Green,1
Is this traffic sign used in highways or villages?,Highways,1
What is the distance to Tripuranthakam?,20 km,1
How far is Vinukonda from this point?,50 km,1
What is the distance to Guntur?,144 km,1
Which town is located 20 km from this point?,Tripuranthakam,1
Which city is located 220 km from this point?,Hyderabad,1
What is the distance to Srisailam from here?,220 km,1
Which direction leads to Hyderabad?,Right,1
Which direction leads to Srisailam?,Left,1
What is the name shown on the traffic sign?,Kesineni palli,1
What is the traffic sign indicating?,Lay-bye,1
What vehicle type is the lay-bye intended for?,Truck,1
How far away is the truck lay-bye?,500 meters,1
What direction should trucks go?,Right,1
What is the purpose of a lay-bye?,Rest,1
What should a truck driver do?,Pull over,1
Is this traffic sign likely to refer to a dangerous road feature?,Yes,1
What color is the traffic sign background?,Yellow,1
What shape is the traffic sign most likely to be?,Rectangle,1
Should drivers be vigilant or relaxed in this area?,Vigilant,1
What does this traffic sign indicate?,Built-up,1
What type of area does it show?,Populated,1
What should the driver do here?,Careful,1
What is the color of the traffic signboard?,Green,1
What is the name shown on the traffic sign?,Dupadu,1
What color is used in this traffic sign?,Red,1
which area is farthest from here?,Chennai,1
What is the name shown on the traffic sign?,Naaz centre,1
In which language those names are written?,Telugu,1
What does it help with?,Navigation,1
Which place is to the right?,Naaz centre,1
What is the name shown on the traffic sign?,"Chennai , Tirupati and Sattenapalle",1
What color is used in the background of this traffic sign?,Green,1
Which language is used here?,Telugu,1
Which place is to the right?,Chennai,1
Which place is straight ahead?,Gujjanagundla,1
Which place is to the right?,Amaravati,1
Which place is to the left?,Chowdavaram and Dasarivaripalem,1
What does this traffic sign indicate?,Danger Zone,1
What color is used in the background of this traffic sign?,Black,1
Which place is to the right?,Chowdavaram,1
What is the maximum height allowed?,4.5 m,1
Which place is to the right?,Quarry Road,1
What does this traffic sign indicate?,Cattle,1
Which place is to the left?,Guntur and Nallapadu,1
Which place is nearest from here?,Vijayawada,1
Which place is nearest from here?,Bhuvanesawr,1
What color background is used?,Green,1
Should cars use the service road?,No,1
hich state is mentioned here?,Andhra Pradesh,1
Does it provide guidance or warning?,guidance,1
Is it used to help travelers?,Yes,1
What is the name shown on the traffic sign?,Guntur,1
What is the name shown on the traffic sign?,Pottur,1
Which place is to the right?,Vengalayapalem,1
What are the places shown on the Board?,Chowdavarm and Kondrupadu,1
Which place is farthest from here?,Amaravati Capital,1
Which place is nearest from here?,Koretipadu,1
What does this traffic sign indicate?,Information,1
Which authority issued this traffic sign?,Municipality,1
What language is used on the board?,Telugu,1
Is it used for public awareness?,Yes,1
In which language the names are written on this traffic sign?,Telugu,1
Which place is to the right?,Taluka Office,1
Which place is farthest from here?,Vijayawada,1
Which place is nearest from here?,R.T.O Office,1
What is the name shown on the traffic sign?,Pinniboyanavaripalem,1
Which place is straight ahead?,Digamarru,1
Which place is to the left?,Chirala,1
Which place is to the right?,Ongole,1
What does this traffic sign indicate?,Assembly,1
When should people use this point?,Emergency,1
Is this for safety?,Yes,1
Which place is nearest from here?,Ongole,1
What is the name shown on the traffic sign?,Bapatla,1
Which place is farthest from here?,Kakinada,1
Which place is nearest from here?,Repalle,1
Which place is nearest from here?,Chirala,1
What does this traffic sign indicate?,Surveillance,1
What device is being used ahead?,Camera,1
What does the camera record?,Number plates,1
What should drivers avoid here?,Violations,1
Which place is straight ahead?,Bapatla,1
Which place is to the right?,Repalle,1
What does this traffic sign indicate?,Left,1
Which direction should vehicles go?,Left,1
What shape is the traffic sign,Circular,1
What does this traffic sign indicate?,No left Turn,1
What does this traffic sign indicate?,Danger/Hazard,1
What does this traffic sign indicate?,CCTV,1
What is being done in this area?,Recording,1
How many hours is CCTV active?,24 Hours,1
What does the traffic sign ensure?,Security,1
What does this traffic sign indicate?,Railway,1
What type of crossing does it show?,Gated,1
What lies ahead on the road?,Crossing,1
What does this traffic sign indicate?,Start of dual carriageway,1
What does this traffic sign indicate?,Road-narrowing,1
What direction is shown on the traffic sign?,Right,1
Which place is to the left?,Govada,1
Which place is straight ahead?,Machilipatnam and Challapalli,1
What does the arrow indicate?,Up,1
What is the name shown on the traffic sign?,Toll Gate,1
Which place is to the left?,Bhattiprolu,1
What does this traffic sign indicate?,No Straight Ahead,1
Which place is to the left?,Chandole,1
Which place is straight ahead?,Kanagala,1
Which place is to the right?,Pittalavanipalem,1
Which place is straight ahead?,Repalle and Machilipatnam,1
Which is the nearest place from here?,Repalle,1
Which place is straight ahead?,Nuzivudu,1
Which place is to the left?,Tiruvuru and Bhadrachelam,1
Which place is straight ahead?,Pondugala,1
Which place is to the left?,Ibrahimpatnam,1
Which place is nearest from here?,Mylavarm,1
What does this traffic sign indicate?,Hostel,1
What gender hostel is it?,Boys,1
Where is it located?,Mylavaram,1
Who is the hostel named after?,Lakireddy Lakshmi Reddy,1
Which place’s limit ends here?,Vinukonda,1
Who installs such traffic signs?,Authorities,1
Does this traffic sign give a warning?,No,1
What does this traffic sign indicate?,Curve,1
In which direction is the curve?,Right,1
Which place is to the left?,G.Konduru,1
Which state’s tourism is mentioned?,Andhra Pradesh,1
Is this traffic sign used for safety or direction?,Directions,1
Which place is straight ahead?,Ferry,1
Which place is to the right?,Hyderabad,1
Which place is straight ahead?,Vijayawada and AP Secretariat,1
Which place is to the right?,Pavitra Sangamam,1
What does this traffic sign indicate?,left curve ahead,1
Which place is to the left?,Bhadrachalam,1
Which place is to the right?,Ferry,1
Which direction to Vegampalli?,Straight,1
Which direction to Vodapadu?,Left,1
Which direction to Markapuram?,Right,1
Which direction to Amaravati Pilgrim Center?,Straight,1
Which direction to Amaravati Capital Secretariat?,Straight,1
Which direction to Tadepalli?,Left,1
Which direction to Tulluru?,Right,1
Is Markapuram to the left?,Yes,1
Is Srisailam 80 km away?,Yes,1
Is Bodapadu a short distance away?,Yes,1
Is Markapuram further than Bodapadu?,Yes,1
Is Bodapadu to the right?,No,1
What is the shortest route shown?,Bodapadu,1
Which location is straight ahead?,Vaggampalli,1
Which direction is Markapuram from here?,Right,1
What is the nearest location mentioned?,Donakonda,1
How far is Rudrasamudram from here?,10km,1
Which place is 20 km away?,Gajjalakonda,1
What direction should the car take for Rayavaram?,Left,1
What place is shown?,Chittoor,1
Where does the straight road go?,Chittoor,1
Where does the right road lead?,School,1
What type of board is this?,traffic signboard,1
hat place is straight?,Nandyal,1
Where does the right road go?,Kadapa,1
What city is shown ahead?,Nandyal,1
Which direction shows Kadapa?,Right,1
What place is shown straight?,Nandyal,1
Where does the arrow point?,Forward,1
What is the green board shape?,Rectangle,1
What is the green board color?,Green,1
What should not be done?,Feeding,1
Who should not be fed?,Animals,1
What does it ensure?,Safety,1
What does this traffic sign indicate?,Cleanliness,1
What material should not be thrown?,Plastics,1
What happens if ignored?,Pollution,1
What is the purpose of this traffic sign?,Awareness,1
What color is the stop traffic sign?,Red,1
Is there a stop traffic sign?,Yes,1
Which way is Repalle?,Left,1
Which way is Ongole?,Right,1
Is there a curve ahead?,Yes,1
Does the road split?,Yes,1
What shape is the stop traffic sign?,Octagon,1
Is the area rural?,Yes,1
What direction is Repalle?,Left,1
What direction is Ongole?,Right,1
Is the traffic signboard green?,Yes,1
Does the traffic sign show arrows?,Yes,1
What type of area is around?,Rural,1
What language is used?,Telugu,1
Are both traffic signs readable?,Yes,1
Is the road divided?,No,1
What direction does the traffic sign indicate?,Left,1
Which village is mentioned on the traffic sign?,Poturaju,1
What type of traffic sign is this?,Directional,1
What language is used on the top part of the traffic sign?,Telugu,1
What shape is the arrow on the traffic sign?,Leftward,1
Where should a driver go to reach the destination?,Left,1
What script is used in the regional text?,Telugu,1
What is the highway number shown on the traffic sign?,NH216,1
What is the nearest city mentioned?,Ongole,1
What is the farthest destination on the traffic sign?,Chennai,1
What is the language below Telugu on the traffic sign?,English,1
What direction should a driver take to reach Nellore?,Straight,1
What type of traffic sign is this?,Overhead,1
What is the background color of the traffic signboard?,Green,1
What is the distance to Ongole from this point?,62km,1
What does this traffic sign indicate?,Keep Left,1
What is the shape of the traffic sign?,Triangular,1
What is the background color?,White,1
What does this traffic sign indicate?,Right curve ahead,1
What type of intersection is shown in the traffic sign?,T-junction,1
What action should a driverless car prepare for?,Stop,1
What does this traffic sign indicate about the current road?,Ends,1
What direction options will be available after the junction?,Left-Right,1
Should the car proceed at high or low speed approaching this traffic sign?,Low,1
"Is the traffic sign regulatory, warning, or informational?",Warning,1
What shape is the traffic signboard?,Triangle,1
Which sense is used by the AI to detect this traffic sign?,Vision,1
Which city is straight ahead?,Ongole,1
What is the second city listed?,Eepurupalem,1
How many destinations are on the traffic sign?,Two,1
Which direction is Eepurupalem?,Right,1
What is the name shown on the traffic sign?,Chirala,1
Which place is to the right?,Chirala,1
What destination is straight ahead?,Ongole,1
Which way does the arrow for Vodarevu point?,Left,1
What city is indicated by the right arrow?,Chirala,1
What is the traffic sign's background color?,Green,1
What color is mainly used?,White,1
Should a driver go or stop?,Stop,1
Which vehicles are restricted?,Trucks,1
What happens if disobeyed?,Penalty,1
Who must obey this traffic sign?,Drivers,1
