"review_id","image_path","source_image_id","proposed_class","dataset_a_class_id","dataset_a_class_name","source_question","source_answer","perceptual_group_id","review_status","review_notes","review_label"
"B6-0016","traffic512final/img_0918.jpg","img_0918.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0838","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0017","traffic512final/img_0919.jpg","img_0919.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0839","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0018","traffic512final/img_0920.jpg","img_0920.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0840","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0019","traffic512final/img_0937.jpg","img_0937.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0857","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0020","traffic512final/img_0988.jpg","img_0988.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Petrol pump","group_0908","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0021","traffic512final/img_1061.jpg","img_1061.jpg","filling_station","55","Filling station","What does this traffic sign indicate?","Fuel","group_0980","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0022","traffic512final/img_0078.jpg","img_0078.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0078","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0023","traffic512final/img_0079.jpg","img_0079.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0079","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0024","traffic512final/img_0174.jpg","img_0174.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0174","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0025","traffic512final/img_0282.jpg","img_0282.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0276","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0026","traffic512final/img_0370.jpg","img_0370.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0360","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0027","traffic512final/img_0395.jpg","img_0395.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0360","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0028","traffic512final/img_0503.jpg","img_0503.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0437","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0029","traffic512final/img_0517.jpg","img_0517.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0451","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0030","traffic512final/img_0603.jpg","img_0603.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0537","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0031","traffic512final/img_0607.jpg","img_0607.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0541","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0032","traffic512final/img_0667.jpg","img_0667.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0601","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0033","traffic512final/img_0730.jpg","img_0730.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0664","rejected","Give-way sign is not clearly identifiable; exclude from external test.",""
"B6-0034","traffic512final/img_0748.jpg","img_0748.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0682","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0035","traffic512final/img_0762.jpg","img_0762.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0689","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0036","traffic512final/img_0763.jpg","img_0763.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0682","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0037","traffic512final/img_0764.jpg","img_0764.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0690","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0038","traffic512final/img_0766.jpg","img_0766.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0664","rejected","Give-way sign is not clearly identifiable; exclude from external test.",""
"B6-0039","traffic512final/img_0767.jpg","img_0767.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0664","rejected","Give-way sign is not clearly identifiable; exclude from external test.",""
"B6-0040","traffic512final/img_0870.jpg","img_0870.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0793","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0041","traffic512final/img_0929.jpg","img_0929.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0849","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0042","traffic512final/img_1069.jpg","img_1069.jpg","give_way","0","Give way","What does this traffic sign indicate?","Give way to traffic on major road","group_0988","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0043","traffic512final/img_0050.jpg","img_0050.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0050","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0044","traffic512final/img_0066.jpg","img_0066.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0066","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0045","traffic512final/img_0067.jpg","img_0067.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0067","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0046","traffic512final/img_0076.jpg","img_0076.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0076","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0047","traffic512final/img_0077.jpg","img_0077.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0077","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0048","traffic512final/img_0332.jpg","img_0332.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0326","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0049","traffic512final/img_0333.jpg","img_0333.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0326","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0050","traffic512final/img_0421.jpg","img_0421.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0326","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0051","traffic512final/img_0521.jpg","img_0521.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0455","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0052","traffic512final/img_0577.jpg","img_0577.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0511","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0053","traffic512final/img_0585.jpg","img_0585.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0519","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0054","traffic512final/img_0629.jpg","img_0629.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0563","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0055","traffic512final/img_0928.jpg","img_0928.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0848","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0056","traffic512final/img_0955.jpg","img_0955.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No Entry","group_0875","rejected","Does not match the standard no-entry class; appears to be a different prohibition/road-layout sign.",""
"B6-0057","traffic512final/img_0956.jpg","img_0956.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No Entry","group_0876","rejected","Does not match the standard no-entry class; appears to be a different prohibition/road-layout sign.",""
"B6-0058","traffic512final/img_0957.jpg","img_0957.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No Entry","group_0877","rejected","Non-standard/ambiguous no-entry presentation; exclude from clean external benchmark.",""
"B6-0059","traffic512final/img_1075.jpg","img_1075.jpg","no_entry","1","No entry","What does this traffic sign indicate?","No entry","group_0994","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0060","traffic512final/img_0064.jpg","img_0064.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0064","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0061","traffic512final/img_0097.jpg","img_0097.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No right turn","group_0097","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0062","traffic512final/img_0158.jpg","img_0158.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0158","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0063","traffic512final/img_0166.jpg","img_0166.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0166","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0064","traffic512final/img_0281.jpg","img_0281.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0275","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0065","traffic512final/img_0513.jpg","img_0513.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0447","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0066","traffic512final/img_0535.jpg","img_0535.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0469","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0067","traffic512final/img_0552.jpg","img_0552.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0486","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0068","traffic512final/img_0553.jpg","img_0553.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0487","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0069","traffic512final/img_0666.jpg","img_0666.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No right turn","group_0600","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0070","traffic512final/img_0927.jpg","img_0927.jpg","no_right_turn","16","No right turn","What does this traffic sign indicate?","No Right Turn","group_0847","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0071","traffic512final/img_0018.jpg","img_0018.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0018","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0072","traffic512final/img_0021.jpg","img_0021.jpg","road_hump","30","Road hump","What type of obstacle does this traffic sign warn about?","Bump","group_0021","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0073","traffic512final/img_0144.jpg","img_0144.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0144","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0074","traffic512final/img_0152.jpg","img_0152.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0152","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0075","traffic512final/img_0154.jpg","img_0154.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0154","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0076","traffic512final/img_0162.jpg","img_0162.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0162","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0077","traffic512final/img_0201.jpg","img_0201.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump","group_0195","rejected","Symbol appears different from the clean road-hump examples; exclude conservatively.",""
"B6-0078","traffic512final/img_0273.jpg","img_0273.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0267","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0079","traffic512final/img_0280.jpg","img_0280.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0274","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0080","traffic512final/img_0328.jpg","img_0328.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0322","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0081","traffic512final/img_0331.jpg","img_0331.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0325","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0082","traffic512final/img_0347.jpg","img_0347.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0337","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0083","traffic512final/img_0353.jpg","img_0353.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0343","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0084","traffic512final/img_0372.jpg","img_0372.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0362","rejected","No clearly identifiable road-hump sign visible.",""
"B6-0085","traffic512final/img_0377.jpg","img_0377.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0367","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0086","traffic512final/img_0378.jpg","img_0378.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0368","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0087","traffic512final/img_0382.jpg","img_0382.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0362","rejected","No clearly identifiable road-hump sign visible.",""
"B6-0088","traffic512final/img_0383.jpg","img_0383.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0367","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0089","traffic512final/img_0387.jpg","img_0387.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0368","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0090","traffic512final/img_0405.jpg","img_0405.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0374","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0091","traffic512final/img_0406.jpg","img_0406.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0343","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0092","traffic512final/img_0420.jpg","img_0420.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0374","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0093","traffic512final/img_0431.jpg","img_0431.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0377","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0094","traffic512final/img_0443.jpg","img_0443.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0377","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0095","traffic512final/img_0495.jpg","img_0495.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0429","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0096","traffic512final/img_0501.jpg","img_0501.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0435","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0097","traffic512final/img_0508.jpg","img_0508.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0442","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0098","traffic512final/img_0534.jpg","img_0534.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0468","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0099","traffic512final/img_0539.jpg","img_0539.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0473","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0100","traffic512final/img_0544.jpg","img_0544.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0478","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0101","traffic512final/img_0545.jpg","img_0545.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0479","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0102","traffic512final/img_0550.jpg","img_0550.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0484","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0103","traffic512final/img_0558.jpg","img_0558.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0492","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0104","traffic512final/img_0562.jpg","img_0562.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0496","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0105","traffic512final/img_0593.jpg","img_0593.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0527","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0106","traffic512final/img_0623.jpg","img_0623.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0557","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0107","traffic512final/img_0660.jpg","img_0660.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0594","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0108","traffic512final/img_0670.jpg","img_0670.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0604","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0109","traffic512final/img_0672.jpg","img_0672.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0606","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0110","traffic512final/img_0685.jpg","img_0685.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0619","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0111","traffic512final/img_0695.jpg","img_0695.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0629","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0112","traffic512final/img_0711.jpg","img_0711.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0645","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0113","traffic512final/img_0789.jpg","img_0789.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0712","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0114","traffic512final/img_0818.jpg","img_0818.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0741","rejected","No clearly identifiable road-hump sign visible.",""
"B6-0115","traffic512final/img_0836.jpg","img_0836.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0759","rejected","Road-hump sign is too unclear/oblique for a clean external benchmark.",""
"B6-0116","traffic512final/img_0865.jpg","img_0865.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0788","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0117","traffic512final/img_0866.jpg","img_0866.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0789","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0118","traffic512final/img_0877.jpg","img_0877.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0800","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0119","traffic512final/img_0878.jpg","img_0878.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0801","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0120","traffic512final/img_0887.jpg","img_0887.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0808","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0121","traffic512final/img_0888.jpg","img_0888.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0809","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0122","traffic512final/img_0944.jpg","img_0944.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0864","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0123","traffic512final/img_0951.jpg","img_0951.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0871","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0124","traffic512final/img_1001.jpg","img_1001.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0921","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0125","traffic512final/img_1002.jpg","img_1002.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0922","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0126","traffic512final/img_1038.jpg","img_1038.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0958","rejected","Image shows toll-plaza information rather than a road-hump sign.",""
"B6-0127","traffic512final/img_1039.jpg","img_1039.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0959","rejected","Image shows toll-plaza information rather than a road-hump sign.",""
"B6-0128","traffic512final/img_1041.jpg","img_1041.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0961","rejected","Image shows toll-plaza information rather than a road-hump sign.",""
"B6-0129","traffic512final/img_1066.jpg","img_1066.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Hump/Speed breaker","group_0985","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0130","traffic512final/img_1080.jpg","img_1080.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0998","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0131","traffic512final/img_1081.jpg","img_1081.jpg","road_hump","30","Road hump","What does this traffic sign indicate?","Humps/Speed breakers","group_0999","approved","Visually consistent with the proposed class in the uploaded contact sheet.",""
"B6-0132","traffic512final/img_0094.jpg","img_0094.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0094","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0133","traffic512final/img_0138.jpg","img_0138.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0138","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0134","traffic512final/img_0610.jpg","img_0610.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0544","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0135","traffic512final/img_0620.jpg","img_0620.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0554","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
"B6-0136","traffic512final/img_0626.jpg","img_0626.jpg","y_junction","41","Y-junction","what does this traffic sign indicate?","Y-intersection","group_0560","rejected","Visual symbol appears to be a side-road/junction warning rather than a conventional Y-junction. Reject for the current external test and separately re-check Dataset A class 41.",""
